# Pokabbie feature-za-expansion canonical species data
# schema_version=1
# source_commit=91a4feca60251da39ac320bac91d7c59a8a7dd9a
species,pokemon,HP,Atk,Def,SpA,SpD,Spe,type1,type2,ability1,ability2,hidden_ability
SPECIES_ALCREMIE_CLOVER_LEMON_CREAM,Alcremie,65,60,75,110,121,64,TYPE_FAIRY,TYPE_FAIRY,ABILITY_SWEET_VEIL,ABILITY_NONE,ABILITY_AROMA_VEIL
SPECIES_ALCREMIE_CLOVER_MATCHA_CREAM,Alcremie,65,60,75,110,121,64,TYPE_FAIRY,TYPE_FAIRY,ABILITY_SWEET_VEIL,ABILITY_NONE,ABILITY_AROMA_VEIL
SPECIES_ALCREMIE_CLOVER_MINT_CREAM,Alcremie,65,60,75,110,121,64,TYPE_FAIRY,TYPE_FAIRY,ABILITY_SWEET_VEIL,ABILITY_NONE,ABILITY_AROMA_VEIL
SPECIES_ALCREMIE_CLOVER_RAINBOW_SWIRL,Alcremie,65,60,75,110,121,64,TYPE_FAIRY,TYPE_FAIRY,ABILITY_SWEET_VEIL,ABILITY_NONE,ABILITY_AROMA_VEIL
SPECIES_ALCREMIE_CLOVER_RUBY_CREAM,Alcremie,65,60,75,110,121,64,TYPE_FAIRY,TYPE_FAIRY,ABILITY_SWEET_VEIL,ABILITY_NONE,ABILITY_AROMA_VEIL
SPECIES_ALCREMIE_CLOVER_RUBY_SWIRL,Alcremie,65,60,75,110,121,64,TYPE_FAIRY,TYPE_FAIRY,ABILITY_SWEET_VEIL,ABILITY_NONE,ABILITY_AROMA_VEIL
SPECIES_ALCREMIE_CLOVER_SALTED_CREAM,Alcremie,65,60,75,110,121,64,TYPE_FAIRY,TYPE_FAIRY,ABILITY_SWEET_VEIL,ABILITY_NONE,ABILITY_AROMA_VEIL
SPECIES_ALCREMIE_CLOVER_VANILLA_CREAM,Alcremie,65,60,75,110,121,64,TYPE_FAIRY,TYPE_FAIRY,ABILITY_SWEET_VEIL,ABILITY_NONE,ABILITY_AROMA_VEIL
SPECIES_ALCREMIE_FLOWER_CARAMEL_SWIRL,Alcremie,65,60,75,110,121,64,TYPE_FAIRY,TYPE_FAIRY,ABILITY_SWEET_VEIL,ABILITY_NONE,ABILITY_AROMA_VEIL
SPECIES_ALCREMIE_FLOWER_LEMON_CREAM,Alcremie,65,60,75,110,121,64,TYPE_FAIRY,TYPE_FAIRY,ABILITY_SWEET_VEIL,ABILITY_NONE,ABILITY_AROMA_VEIL
SPECIES_ALCREMIE_FLOWER_MATCHA_CREAM,Alcremie,65,60,75,110,121,64,TYPE_FAIRY,TYPE_FAIRY,ABILITY_SWEET_VEIL,ABILITY_NONE,ABILITY_AROMA_VEIL
SPECIES_ALCREMIE_FLOWER_MINT_CREAM,Alcremie,65,60,75,110,121,64,TYPE_FAIRY,TYPE_FAIRY,ABILITY_SWEET_VEIL,ABILITY_NONE,ABILITY_AROMA_VEIL
SPECIES_ALCREMIE_FLOWER_RAINBOW_SWIRL,Alcremie,65,60,75,110,121,64,TYPE_FAIRY,TYPE_FAIRY,ABILITY_SWEET_VEIL,ABILITY_NONE,ABILITY_AROMA_VEIL
SPECIES_ALCREMIE_FLOWER_RUBY_CREAM,Alcremie,65,60,75,110,121,64,TYPE_FAIRY,TYPE_FAIRY,ABILITY_SWEET_VEIL,ABILITY_NONE,ABILITY_AROMA_VEIL
SPECIES_ALCREMIE_FLOWER_RUBY_SWIRL,Alcremie,65,60,75,110,121,64,TYPE_FAIRY,TYPE_FAIRY,ABILITY_SWEET_VEIL,ABILITY_NONE,ABILITY_AROMA_VEIL
SPECIES_ALCREMIE_FLOWER_SALTED_CREAM,Alcremie,65,60,75,110,121,64,TYPE_FAIRY,TYPE_FAIRY,ABILITY_SWEET_VEIL,ABILITY_NONE,ABILITY_AROMA_VEIL
SPECIES_ALCREMIE_FLOWER_VANILLA_CREAM,Alcremie,65,60,75,110,121,64,TYPE_FAIRY,TYPE_FAIRY,ABILITY_SWEET_VEIL,ABILITY_NONE,ABILITY_AROMA_VEIL
SPECIES_ALCREMIE_GIGANTAMAX,Alcremie,65,60,75,110,121,64,TYPE_FAIRY,TYPE_FAIRY,ABILITY_SWEET_VEIL,ABILITY_NONE,ABILITY_AROMA_VEIL
SPECIES_ALCREMIE_LOVE_CARAMEL_SWIRL,Alcremie,65,60,75,110,121,64,TYPE_FAIRY,TYPE_FAIRY,ABILITY_SWEET_VEIL,ABILITY_NONE,ABILITY_AROMA_VEIL
SPECIES_ALCREMIE_LOVE_LEMON_CREAM,Alcremie,65,60,75,110,121,64,TYPE_FAIRY,TYPE_FAIRY,ABILITY_SWEET_VEIL,ABILITY_NONE,ABILITY_AROMA_VEIL
SPECIES_ALCREMIE_LOVE_MATCHA_CREAM,Alcremie,65,60,75,110,121,64,TYPE_FAIRY,TYPE_FAIRY,ABILITY_SWEET_VEIL,ABILITY_NONE,ABILITY_AROMA_VEIL
SPECIES_ALCREMIE_LOVE_MINT_CREAM,Alcremie,65,60,75,110,121,64,TYPE_FAIRY,TYPE_FAIRY,ABILITY_SWEET_VEIL,ABILITY_NONE,ABILITY_AROMA_VEIL
SPECIES_ALCREMIE_LOVE_RAINBOW_SWIRL,Alcremie,65,60,75,110,121,64,TYPE_FAIRY,TYPE_FAIRY,ABILITY_SWEET_VEIL,ABILITY_NONE,ABILITY_AROMA_VEIL
SPECIES_ALCREMIE_LOVE_RUBY_CREAM,Alcremie,65,60,75,110,121,64,TYPE_FAIRY,TYPE_FAIRY,ABILITY_SWEET_VEIL,ABILITY_NONE,ABILITY_AROMA_VEIL
SPECIES_ALCREMIE_LOVE_RUBY_SWIRL,Alcremie,65,60,75,110,121,64,TYPE_FAIRY,TYPE_FAIRY,ABILITY_SWEET_VEIL,ABILITY_NONE,ABILITY_AROMA_VEIL
SPECIES_ALCREMIE_LOVE_SALTED_CREAM,Alcremie,65,60,75,110,121,64,TYPE_FAIRY,TYPE_FAIRY,ABILITY_SWEET_VEIL,ABILITY_NONE,ABILITY_AROMA_VEIL
SPECIES_ALCREMIE_LOVE_VANILLA_CREAM,Alcremie,65,60,75,110,121,64,TYPE_FAIRY,TYPE_FAIRY,ABILITY_SWEET_VEIL,ABILITY_NONE,ABILITY_AROMA_VEIL
SPECIES_ALCREMIE_RIBBON_CARAMEL_SWIRL,Alcremie,65,60,75,110,121,64,TYPE_FAIRY,TYPE_FAIRY,ABILITY_SWEET_VEIL,ABILITY_NONE,ABILITY_AROMA_VEIL
SPECIES_ALCREMIE_RIBBON_LEMON_CREAM,Alcremie,65,60,75,110,121,64,TYPE_FAIRY,TYPE_FAIRY,ABILITY_SWEET_VEIL,ABILITY_NONE,ABILITY_AROMA_VEIL
SPECIES_ALCREMIE_RIBBON_MATCHA_CREAM,Alcremie,65,60,75,110,121,64,TYPE_FAIRY,TYPE_FAIRY,ABILITY_SWEET_VEIL,ABILITY_NONE,ABILITY_AROMA_VEIL
SPECIES_ALCREMIE_RIBBON_MINT_CREAM,Alcremie,65,60,75,110,121,64,TYPE_FAIRY,TYPE_FAIRY,ABILITY_SWEET_VEIL,ABILITY_NONE,ABILITY_AROMA_VEIL
SPECIES_ALCREMIE_RIBBON_RAINBOW_SWIRL,Alcremie,65,60,75,110,121,64,TYPE_FAIRY,TYPE_FAIRY,ABILITY_SWEET_VEIL,ABILITY_NONE,ABILITY_AROMA_VEIL
SPECIES_ALCREMIE_RIBBON_RUBY_CREAM,Alcremie,65,60,75,110,121,64,TYPE_FAIRY,TYPE_FAIRY,ABILITY_SWEET_VEIL,ABILITY_NONE,ABILITY_AROMA_VEIL
SPECIES_ALCREMIE_RIBBON_RUBY_SWIRL,Alcremie,65,60,75,110,121,64,TYPE_FAIRY,TYPE_FAIRY,ABILITY_SWEET_VEIL,ABILITY_NONE,ABILITY_AROMA_VEIL
SPECIES_ALCREMIE_RIBBON_SALTED_CREAM,Alcremie,65,60,75,110,121,64,TYPE_FAIRY,TYPE_FAIRY,ABILITY_SWEET_VEIL,ABILITY_NONE,ABILITY_AROMA_VEIL
SPECIES_ALCREMIE_RIBBON_VANILLA_CREAM,Alcremie,65,60,75,110,121,64,TYPE_FAIRY,TYPE_FAIRY,ABILITY_SWEET_VEIL,ABILITY_NONE,ABILITY_AROMA_VEIL
SPECIES_ALCREMIE_STAR_CARAMEL_SWIRL,Alcremie,65,60,75,110,121,64,TYPE_FAIRY,TYPE_FAIRY,ABILITY_SWEET_VEIL,ABILITY_NONE,ABILITY_AROMA_VEIL
SPECIES_ALCREMIE_STAR_LEMON_CREAM,Alcremie,65,60,75,110,121,64,TYPE_FAIRY,TYPE_FAIRY,ABILITY_SWEET_VEIL,ABILITY_NONE,ABILITY_AROMA_VEIL
SPECIES_ALCREMIE_STAR_MATCHA_CREAM,Alcremie,65,60,75,110,121,64,TYPE_FAIRY,TYPE_FAIRY,ABILITY_SWEET_VEIL,ABILITY_NONE,ABILITY_AROMA_VEIL
SPECIES_ALCREMIE_STAR_MINT_CREAM,Alcremie,65,60,75,110,121,64,TYPE_FAIRY,TYPE_FAIRY,ABILITY_SWEET_VEIL,ABILITY_NONE,ABILITY_AROMA_VEIL
SPECIES_ALCREMIE_STAR_RAINBOW_SWIRL,Alcremie,65,60,75,110,121,64,TYPE_FAIRY,TYPE_FAIRY,ABILITY_SWEET_VEIL,ABILITY_NONE,ABILITY_AROMA_VEIL
SPECIES_ALCREMIE_STAR_RUBY_CREAM,Alcremie,65,60,75,110,121,64,TYPE_FAIRY,TYPE_FAIRY,ABILITY_SWEET_VEIL,ABILITY_NONE,ABILITY_AROMA_VEIL
SPECIES_ALCREMIE_STAR_RUBY_SWIRL,Alcremie,65,60,75,110,121,64,TYPE_FAIRY,TYPE_FAIRY,ABILITY_SWEET_VEIL,ABILITY_NONE,ABILITY_AROMA_VEIL
SPECIES_ALCREMIE_STAR_SALTED_CREAM,Alcremie,65,60,75,110,121,64,TYPE_FAIRY,TYPE_FAIRY,ABILITY_SWEET_VEIL,ABILITY_NONE,ABILITY_AROMA_VEIL
SPECIES_ALCREMIE_STAR_VANILLA_CREAM,Alcremie,65,60,75,110,121,64,TYPE_FAIRY,TYPE_FAIRY,ABILITY_SWEET_VEIL,ABILITY_NONE,ABILITY_AROMA_VEIL
SPECIES_ALCREMIE_STRAWBERRY_CARAMEL_SWIRL,Alcremie,65,60,75,110,121,64,TYPE_FAIRY,TYPE_FAIRY,ABILITY_SWEET_VEIL,ABILITY_NONE,ABILITY_AROMA_VEIL
SPECIES_ALCREMIE_STRAWBERRY_LEMON_CREAM,Alcremie,65,60,75,110,121,64,TYPE_FAIRY,TYPE_FAIRY,ABILITY_SWEET_VEIL,ABILITY_NONE,ABILITY_AROMA_VEIL
SPECIES_ALCREMIE_STRAWBERRY_MATCHA_CREAM,Alcremie,65,60,75,110,121,64,TYPE_FAIRY,TYPE_FAIRY,ABILITY_SWEET_VEIL,ABILITY_NONE,ABILITY_AROMA_VEIL
SPECIES_ALCREMIE_STRAWBERRY_MINT_CREAM,Alcremie,65,60,75,110,121,64,TYPE_FAIRY,TYPE_FAIRY,ABILITY_SWEET_VEIL,ABILITY_NONE,ABILITY_AROMA_VEIL
SPECIES_ALCREMIE_STRAWBERRY_RAINBOW_SWIRL,Alcremie,65,60,75,110,121,64,TYPE_FAIRY,TYPE_FAIRY,ABILITY_SWEET_VEIL,ABILITY_NONE,ABILITY_AROMA_VEIL
SPECIES_ALCREMIE_STRAWBERRY_RUBY_CREAM,Alcremie,65,60,75,110,121,64,TYPE_FAIRY,TYPE_FAIRY,ABILITY_SWEET_VEIL,ABILITY_NONE,ABILITY_AROMA_VEIL
SPECIES_ALCREMIE_STRAWBERRY_RUBY_SWIRL,Alcremie,65,60,75,110,121,64,TYPE_FAIRY,TYPE_FAIRY,ABILITY_SWEET_VEIL,ABILITY_NONE,ABILITY_AROMA_VEIL
SPECIES_ALCREMIE_STRAWBERRY_SALTED_CREAM,Alcremie,65,60,75,110,121,64,TYPE_FAIRY,TYPE_FAIRY,ABILITY_SWEET_VEIL,ABILITY_NONE,ABILITY_AROMA_VEIL
SPECIES_ALCREMIE_STRAWBERRY_VANILLA_CREAM,Alcremie,65,60,75,110,121,64,TYPE_FAIRY,TYPE_FAIRY,ABILITY_SWEET_VEIL,ABILITY_NONE,ABILITY_AROMA_VEIL
SPECIES_ALOMOMOLA,Alomomola,165,75,80,40,45,65,TYPE_WATER,TYPE_WATER,ABILITY_HEALER,ABILITY_HYDRATION,ABILITY_REGENERATOR
SPECIES_ALTARIA,Altaria,75,70,90,70,105,80,TYPE_DRAGON,TYPE_FLYING,ABILITY_NATURAL_CURE,ABILITY_NONE,ABILITY_CLOUD_NINE
SPECIES_ALTARIA_MEGA,Altaria,75,110,110,110,105,80,TYPE_DRAGON,TYPE_FAIRY,ABILITY_PIXILATE,ABILITY_PIXILATE,ABILITY_PIXILATE
SPECIES_AMAURA,Amaura,77,59,50,67,63,46,TYPE_ROCK,TYPE_ICE,ABILITY_REFRIGERATE,ABILITY_NONE,ABILITY_SNOW_WARNING
SPECIES_AMBIPOM,Ambipom,75,100,66,60,66,115,TYPE_NORMAL,TYPE_NORMAL,ABILITY_TECHNICIAN,ABILITY_PICKUP,ABILITY_SKILL_LINK
SPECIES_AMOONGUSS,Amoonguss,114,85,70,85,80,30,TYPE_GRASS,TYPE_POISON,ABILITY_EFFECT_SPORE,ABILITY_NONE,ABILITY_REGENERATOR
SPECIES_AMPHAROS,Ampharos,90,75,85,115,90,55,TYPE_ELECTRIC,TYPE_ELECTRIC,ABILITY_STATIC,ABILITY_NONE,ABILITY_PLUS
SPECIES_AMPHAROS_MEGA,Ampharos,90,95,105,165,110,45,TYPE_ELECTRIC,TYPE_DRAGON,ABILITY_MOLD_BREAKER,ABILITY_MOLD_BREAKER,ABILITY_MOLD_BREAKER
SPECIES_ANNIHILAPE,Annihilape,110,115,80,50,90,90,TYPE_FIGHTING,TYPE_GHOST,ABILITY_VITAL_SPIRIT,ABILITY_INNER_FOCUS,ABILITY_DEFIANT
SPECIES_ANORITH,Anorith,45,95,50,40,50,75,TYPE_ROCK,TYPE_BUG,ABILITY_BATTLE_ARMOR,ABILITY_NONE,ABILITY_SWIFT_SWIM
SPECIES_APPLETUN,Appletun,110,85,80,100,80,30,TYPE_GRASS,TYPE_DRAGON,ABILITY_RIPEN,ABILITY_GLUTTONY,ABILITY_THICK_FAT
SPECIES_APPLETUN_GIGANTAMAX,Appletun,110,85,80,100,80,30,TYPE_GRASS,TYPE_DRAGON,ABILITY_RIPEN,ABILITY_GLUTTONY,ABILITY_THICK_FAT
SPECIES_APPLIN,Applin,40,40,80,40,40,20,TYPE_GRASS,TYPE_DRAGON,ABILITY_RIPEN,ABILITY_GLUTTONY,ABILITY_BULLETPROOF
SPECIES_ARAQUANID,Araquanid,68,70,92,50,132,42,TYPE_WATER,TYPE_BUG,ABILITY_WATER_BUBBLE,ABILITY_NONE,ABILITY_WATER_ABSORB
SPECIES_ARBOK,Arbok,60,95,69,65,79,80,TYPE_POISON,TYPE_POISON,ABILITY_INTIMIDATE,ABILITY_SHED_SKIN,ABILITY_UNNERVE
SPECIES_ARBOLIVA,Arboliva,78,69,90,125,109,39,TYPE_GRASS,TYPE_NORMAL,ABILITY_SEED_SOWER,ABILITY_NONE,ABILITY_HARVEST
SPECIES_ARCANINE,Arcanine,90,110,80,100,80,95,TYPE_FIRE,TYPE_FIRE,ABILITY_INTIMIDATE,ABILITY_FLASH_FIRE,ABILITY_JUSTIFIED
SPECIES_ARCANINE_HISUIAN,Arcanine,95,115,80,95,80,90,TYPE_FIRE,TYPE_ROCK,ABILITY_INTIMIDATE,ABILITY_FLASH_FIRE,ABILITY_ROCK_HEAD
SPECIES_ARCEUS_BUG,Arceus,120,120,120,120,120,120,TYPE_BUG,TYPE_BUG,ABILITY_MULTITYPE,ABILITY_NONE,ABILITY_NONE
SPECIES_ARCEUS_DARK,Arceus,120,120,120,120,120,120,TYPE_DARK,TYPE_DARK,ABILITY_MULTITYPE,ABILITY_NONE,ABILITY_NONE
SPECIES_ARCEUS_DRAGON,Arceus,120,120,120,120,120,120,TYPE_DRAGON,TYPE_DRAGON,ABILITY_MULTITYPE,ABILITY_NONE,ABILITY_NONE
SPECIES_ARCEUS_ELECTRIC,Arceus,120,120,120,120,120,120,TYPE_ELECTRIC,TYPE_ELECTRIC,ABILITY_MULTITYPE,ABILITY_NONE,ABILITY_NONE
SPECIES_ARCEUS_FAIRY,Arceus,120,120,120,120,120,120,TYPE_FAIRY,TYPE_FAIRY,ABILITY_MULTITYPE,ABILITY_NONE,ABILITY_NONE
SPECIES_ARCEUS_FIGHTING,Arceus,120,120,120,120,120,120,TYPE_FIGHTING,TYPE_FIGHTING,ABILITY_MULTITYPE,ABILITY_NONE,ABILITY_NONE
SPECIES_ARCEUS_FIRE,Arceus,120,120,120,120,120,120,TYPE_FIRE,TYPE_FIRE,ABILITY_MULTITYPE,ABILITY_NONE,ABILITY_NONE
SPECIES_ARCEUS_FLYING,Arceus,120,120,120,120,120,120,TYPE_FLYING,TYPE_FLYING,ABILITY_MULTITYPE,ABILITY_NONE,ABILITY_NONE
SPECIES_ARCEUS_GHOST,Arceus,120,120,120,120,120,120,TYPE_GHOST,TYPE_GHOST,ABILITY_MULTITYPE,ABILITY_NONE,ABILITY_NONE
SPECIES_ARCEUS_GRASS,Arceus,120,120,120,120,120,120,TYPE_GRASS,TYPE_GRASS,ABILITY_MULTITYPE,ABILITY_NONE,ABILITY_NONE
SPECIES_ARCEUS_GROUND,Arceus,120,120,120,120,120,120,TYPE_GROUND,TYPE_GROUND,ABILITY_MULTITYPE,ABILITY_NONE,ABILITY_NONE
SPECIES_ARCEUS_ICE,Arceus,120,120,120,120,120,120,TYPE_ICE,TYPE_ICE,ABILITY_MULTITYPE,ABILITY_NONE,ABILITY_NONE
SPECIES_ARCEUS_NORMAL,Arceus,120,120,120,120,120,120,TYPE_NORMAL,TYPE_NORMAL,ABILITY_MULTITYPE,ABILITY_NONE,ABILITY_NONE
SPECIES_ARCEUS_POISON,Arceus,120,120,120,120,120,120,TYPE_POISON,TYPE_POISON,ABILITY_MULTITYPE,ABILITY_NONE,ABILITY_NONE
SPECIES_ARCEUS_PSYCHIC,Arceus,120,120,120,120,120,120,TYPE_PSYCHIC,TYPE_PSYCHIC,ABILITY_MULTITYPE,ABILITY_NONE,ABILITY_NONE
SPECIES_ARCEUS_ROCK,Arceus,120,120,120,120,120,120,TYPE_ROCK,TYPE_ROCK,ABILITY_MULTITYPE,ABILITY_NONE,ABILITY_NONE
SPECIES_ARCEUS_STEEL,Arceus,120,120,120,120,120,120,TYPE_STEEL,TYPE_STEEL,ABILITY_MULTITYPE,ABILITY_NONE,ABILITY_NONE
SPECIES_ARCEUS_WATER,Arceus,120,120,120,120,120,120,TYPE_WATER,TYPE_WATER,ABILITY_MULTITYPE,ABILITY_NONE,ABILITY_NONE
SPECIES_ARCHALUDON,Archaludon,90,105,130,125,65,85,TYPE_STEEL,TYPE_DRAGON,ABILITY_STAMINA,ABILITY_STURDY,ABILITY_STALWART
SPECIES_ARCHEN,Archen,55,112,45,74,45,70,TYPE_ROCK,TYPE_FLYING,ABILITY_DEFEATIST,ABILITY_NONE,ABILITY_NONE
SPECIES_ARCHEOPS,Archeops,75,140,65,112,65,110,TYPE_ROCK,TYPE_FLYING,ABILITY_DEFEATIST,ABILITY_NONE,ABILITY_NONE
SPECIES_ARCTIBAX,Arctibax,90,95,66,45,65,62,TYPE_DRAGON,TYPE_ICE,ABILITY_THERMAL_EXCHANGE,ABILITY_NONE,ABILITY_ICE_BODY
SPECIES_ARCTOVISH,Arctovish,90,90,100,80,90,55,TYPE_WATER,TYPE_ICE,ABILITY_WATER_ABSORB,ABILITY_ICE_BODY,ABILITY_SLUSH_RUSH
SPECIES_ARCTOZOLT,Arctozolt,90,100,90,90,80,55,TYPE_ELECTRIC,TYPE_ICE,ABILITY_VOLT_ABSORB,ABILITY_STATIC,ABILITY_SLUSH_RUSH
SPECIES_ARIADOS,Ariados,70,90,70,60,70,40,TYPE_BUG,TYPE_POISON,ABILITY_SWARM,ABILITY_INSOMNIA,ABILITY_SNIPER
SPECIES_ARMALDO,Armaldo,75,125,100,70,80,45,TYPE_ROCK,TYPE_BUG,ABILITY_BATTLE_ARMOR,ABILITY_NONE,ABILITY_SWIFT_SWIM
SPECIES_ARMAROUGE,Armarouge,85,60,100,125,80,75,TYPE_FIRE,TYPE_PSYCHIC,ABILITY_FLASH_FIRE,ABILITY_NONE,ABILITY_WEAK_ARMOR
SPECIES_AROMATISSE,Aromatisse,101,72,72,99,89,29,TYPE_FAIRY,TYPE_FAIRY,ABILITY_HEALER,ABILITY_NONE,ABILITY_AROMA_VEIL
SPECIES_ARON,Aron,50,70,100,40,40,30,TYPE_STEEL,TYPE_ROCK,ABILITY_STURDY,ABILITY_ROCK_HEAD,ABILITY_HEAVY_METAL
SPECIES_ARROKUDA,Arrokuda,41,63,40,40,30,66,TYPE_WATER,TYPE_WATER,ABILITY_SWIFT_SWIM,ABILITY_NONE,ABILITY_PROPELLER_TAIL
SPECIES_ARTICUNO,Articuno,90,85,100,95,125,85,TYPE_ICE,TYPE_FLYING,ABILITY_PRESSURE,ABILITY_NONE,ABILITY_SNOW_CLOAK
SPECIES_ARTICUNO_GALARIAN,Articuno,90,85,85,125,100,95,TYPE_PSYCHIC,TYPE_FLYING,ABILITY_COMPETITIVE,ABILITY_NONE,ABILITY_NONE
SPECIES_AUDINO,Audino,103,60,86,60,86,50,TYPE_NORMAL,TYPE_NORMAL,ABILITY_HEALER,ABILITY_REGENERATOR,ABILITY_KLUTZ
SPECIES_AUDINO_MEGA,Audino,103,60,126,80,126,50,TYPE_NORMAL,TYPE_FAIRY,ABILITY_HEALER,ABILITY_HEALER,ABILITY_HEALER
SPECIES_AURORUS,Aurorus,123,77,72,99,92,58,TYPE_ROCK,TYPE_ICE,ABILITY_REFRIGERATE,ABILITY_NONE,ABILITY_SNOW_WARNING
SPECIES_AVALUGG,Avalugg,95,117,184,44,46,28,TYPE_ICE,TYPE_ICE,ABILITY_OWN_TEMPO,ABILITY_ICE_BODY,ABILITY_STURDY
SPECIES_AVALUGG_HISUIAN,Avalugg,95,127,184,34,36,38,TYPE_ICE,TYPE_ROCK,ABILITY_STRONG_JAW,ABILITY_ICE_BODY,ABILITY_STURDY
